nama,dept,sinta_id,scopus_h_index,gs_h_index,sinta_3yr_score,sinta_score,affil_3yr_score,affil_score,image_url
ASEP BAYU DANI NANDIYANTO,Kimia (S2),5974504,31,39,3.633,8.943,0,0,https://scholar.google.co.id/citations?view_op=view_photo&user=pUODwOIAAAAJ&citpid=1
ACHMAD SAMSUDIN,Pendidikan Fisika (S1),257767,14,26,2.702,4.637,0,0,https://scholar.google.co.id/citations?view_op=view_photo&user=twHQXSIAAAAJ&citpid=1
ADE GAFAR ABDULLAH,Pendidikan Teknologi dan Kejuruan (S2),257412,11,17,2.123,5.594,0,0,https://scholar.google.co.id/citations?view_op=view_photo&user=iSTG-HYAAAAJ&citpid=1
WAHYUDIN,Pendidikan Dasar (S3),5991845,6,15,1.835,3.143,0,0,https://scholar.google.co.id/citations?view_op=view_photo&user=nvnLxvAAAAAJ&citpid=1
ANDI SUHANDI,Pendidikan Fisika (S2),6005865,13,20,1.722,3.039,0,0,https://scholar.google.co.id/citations?view_op=view_photo&user=C5ZhMRIAAAAJ&citpid=1
SYIFAUL FUADA,Sistem Telekomunikasi (S1),5981677,13,20,1.312,3.186,0,0,https://scholar.google.co.id/citations?view_op=view_photo&user=3KrQmawAAAAJ&citpid=1
SUFYANI PRABAWANTO,Pendidikan Matematika (S2),5995121,6,14,1.277,1.697,0,0,https://scholar.google.co.id/citations?view_op=view_photo&user=lPOQqxkAAAAJ&citpid=1
WAHYU SOPANDI,Pendidikan Dasar (S3),5989208,6,18,1.258,2.031,0,0,https://scholar.google.co.id/citations?view_op=view_photo&user=7iCSSyoAAAAJ&citpid=1
ARI WIDODO,Pendidikan Ilmu Pengetahuan Alam (S2),257822,7,20,1.237,2.690,0,0,https://scholar.google.co.id/citations?view_op=view_photo&user=6g4ETNsAAAAJ&citpid=1
AGUS SETIAWAN,Pendidikan Teknik Mesin (S1),259466,12,20,1.229,2.899,0,0,https://scholar.google.co.id/citations?view_op=view_photo&user=CHDL_7sAAAAJ&citpid=1
DENI DARMAWAN,Pengembangan Kurikulum (S3),5973309,5,31,1.214,2.060,0,0,https://scholar.google.co.id/citations?view_op=view_photo&user=u6-T17QAAAAJ&citpid=1
AGUS RUSDIANA,Ilmu Keolahragaan (S1),5975690,10,8,1.176,2.566,0,0,https://scholar.google.co.id/citations?view_op=view_photo&user=TDyoNpQAAAAJ&citpid=1
DADI RUSDIANA,Pendidikan Fisika (S2),5974813,10,17,1.163,2.289,0,0,https://scholar.google.co.id/citations?view_op=view_photo&user=Pki8CEwAAAAJ&citpid=1
JULIA,PGSD Kampus Sumedang (S1),5975686,7,12,1.152,1.815,0,0,https://scholar.google.co.id/citations?view_op=view_photo&user=UXc7e24AAAAJ&citpid=1
TATANG HERMAN,Pendidikan Dasar (S3),5986217,7,18,1.152,1.847,0,0,https://scholar.google.co.id/citations?view_op=view_photo&user=hjh5MdEAAAAJ&hl=en&citpid=1
BUDI MULYANTI,Teknik Elektro (S1),5993841,8,9,1.144,2.329,0,0,https://scholar.google.co.id/citations?view_op=view_photo&user=DQqOTmQAAAAJ&citpid=1
DADANG JUANDI,Pendidikan Matematika (S3),6042761,5,13,1.115,1.274,0,0,https://scholar.google.co.id/citations?view_op=view_photo&user=WR4KQ-kAAAAJ&citpid=1
DIDI SURYADI,Pendidikan Matematika (S3),5994183,7,25,1.111,2.205,0,0,https://scholar.google.co.id/citations?view_op=view_photo&user=Ea4oF0EAAAAJ&citpid=1
IDA KANIAWATI,Pendidikan Ilmu Pengetahuan Alam (S3),6005868,12,24,1.109,1.931,0,0,https://scholar.google.co.id/citations?view_op=view_photo&user=x2kArokAAAAJ&hl&citpid=1
WAWAN SETIAWAN,Pendidikan Ilmu Komputer (S2),5977494,8,17,1.034,1.755,0,0,https://scholar.google.co.id/citations?view_op=view_photo&user=YTde37EAAAAJ&citpid=1
