nama,dept,sinta_id,scopus_h_index,gs_h_index,sinta_3yr_score,sinta_score,affil_3yr_score,affil_score
DENI DARMAWAN,"
                                                            Pengembangan Kurikulum (S3)                                                        ", ID : 5973309  , Scopus H-Index : 5, GS H-Index : 31,1.214,2.060,0,0
AGUS RUSDIANA,"
                                                            Ilmu Keolahragaan (S1)                                                        ", ID : 5975690  , Scopus H-Index : 10, GS H-Index : 8,1.170,2.510,0,0
DADI RUSDIANA,"
                                                            Pendidikan Fisika (S2)                                                        ", ID : 5974813  , Scopus H-Index : 10, GS H-Index : 17,1.163,2.289,0,0
JULIA,"
                                                            PGSD Kampus Sumedang (S1)                                                        ", ID : 5975686  , Scopus H-Index : 6, GS H-Index : 12,1.147,1.786,0,0
DADANG JUANDI,"
                                                            Pendidikan Matematika (S3)                                                        ", ID : 6042761  , Scopus H-Index : 5, GS H-Index : 13,1.115,1.274,0,0
IDA KANIAWATI,"
                                                            Pendidikan Ilmu Pengetahuan Alam (S3)                                                        ", ID : 6005868  , Scopus H-Index : 12, GS H-Index : 24,1.109,1.931,0,0
DIDI SURYADI,"
                                                            Pendidikan Matematika (S3)                                                        ", ID : 5994183  , Scopus H-Index : 7, GS H-Index : 24,1.102,2.196,0,0
TATANG HERMAN,"
                                                            Pendidikan Dasar (S3)                                                        ", ID : 5986217  , Scopus H-Index : 7, GS H-Index : 18,1.098,1.683,0,0
WAWAN SETIAWAN,"
                                                            Pendidikan Ilmu Komputer (S2)                                                        ", ID : 5977494  , Scopus H-Index : 8, GS H-Index : 17,1.034,1.755,0,0
BUDI MULYANTI,"
                                                            Teknik Elektro (S1)                                                        ", ID : 5993841  , Scopus H-Index : 8, GS H-Index : 9,1.032,1.773,0,0
ASEP BAYU DANI NANDIYANTO,"
                                                            Kimia (S2)                                                        ", ID : 5974504  , Scopus H-Index : 31, GS H-Index : 39,3.633,8.943,0,0
ACHMAD SAMSUDIN,"
                                                            Pendidikan Fisika (S1)                                                        ", ID : 257767  , Scopus H-Index : 14, GS H-Index : 26,2.699,4.626,0,0
ADE GAFAR ABDULLAH,"
                                                            Pendidikan Teknologi dan Kejuruan (S2)                                                        ", ID : 257412  , Scopus H-Index : 11, GS H-Index : 17,2.123,5.594,0,0
WAHYUDIN,"
                                                            Pendidikan Dasar (S3)                                                        ", ID : 5991845  , Scopus H-Index : 6, GS H-Index : 15,1.835,3.143,0,0
ANDI SUHANDI,"
                                                            Pendidikan Fisika (S2)                                                        ", ID : 6005865  , Scopus H-Index : 13, GS H-Index : 20,1.722,3.039,0,0
SYIFAUL FUADA,"
                                                            Sistem Telekomunikasi (S1)                                                        ", ID : 5981677  , Scopus H-Index : 13, GS H-Index : 20,1.312,3.181,0,0
SUFYANI PRABAWANTO,"
                                                            Pendidikan Matematika (S2)                                                        ", ID : 5995121  , Scopus H-Index : 6, GS H-Index : 14,1.277,1.697,0,0
WAHYU SOPANDI,"
                                                            Pendidikan Dasar (S3)                                                        ", ID : 5989208  , Scopus H-Index : 6, GS H-Index : 18,1.258,2.031,0,0
ARI WIDODO,"
                                                            Pendidikan Ilmu Pengetahuan Alam (S2)                                                        ", ID : 257822  , Scopus H-Index : 7, GS H-Index : 20,1.237,2.690,0,0
AGUS SETIAWAN,"
                                                            Pendidikan Teknik Mesin (S1)                                                        ", ID : 259466  , Scopus H-Index : 12, GS H-Index : 20,1.229,2.899,0,0
